id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season
629,Wayne Rooney,25,1538,5,7.070011952891946,5,3.005505710840225,52,36,8,0,F M S,Manchester United,4,6.308840909972787,11.363079971633852,3.486512088216841,2016
633,James McArthur,29,2034,5,1.6981026465073228,3,2.3486888743937016,23,16,5,0,M S,Crystal Palace,5,1.6981026465073228,5.477223176509142,2.691358333453536,2016
648,Nacer Chadli,31,2169,5,5.810080662369728,5,4.2694517113268375,47,33,2,0,F M S,West Bromwich Albion,4,5.048912689089775,9.24325474910438,3.2578446213155985,2016
686,Cesc Fàbregas,29,1294,5,2.8095389008522034,12,7.848821707069874,26,62,8,0,M S,Chelsea,5,2.8095389008522034,11.544593039900064,6.12983924895525,2016
730,Patrick van Aanholt,32,2493,5,3.4783157277852297,1,2.137767430394888,34,37,3,0,D F M S,"Crystal Palace,Sunderland",5,3.4783157277852297,5.739310670644045,2.414601368829608,2016
844,Jay Rodriguez,24,866,5,4.763505078852177,2,0.5137137975543737,33,7,0,0,F S,Southampton,5,4.763505078852177,4.87988443300128,0.5103846080601215,2016
878,Yaya Touré,25,1955,5,3.702670432627201,0,1.1150561925023794,32,19,4,0,M S,Manchester City,3,2.1803329065442085,11.302313722670078,10.284955695271492,2016
990,James Morrison,31,1736,5,2.478531064465642,2,1.3765214690938592,23,23,3,0,M S,West Bromwich Albion,5,2.478531064465642,6.91210843808949,3.5719482516869903,2016
1678,Michy Batshuayi,20,221,5,3.7648217137902975,1,0.027944400906562805,17,1,0,0,F S,Chelsea,5,3.7648217137902975,4.593408090993762,1.3137308955192566,2016
1740,Paul Pogba,30,2606,5,6.50561457592994,4,5.5897779408842325,92,57,7,0,M S,Manchester United,5,6.50561457592994,16.903288956731558,9.888524703681469,2016
317,Henrikh Mkhitaryan,24,1347,4,2.7058538030833006,1,3.5242760460823774,32,29,1,0,F M S,Manchester United,4,2.7058538030833006,8.492568464949727,4.6559572741389275,2016
459,Charlie Daniels,34,3060,4,1.6076873922720551,3,2.1656230110675097,19,29,1,0,D,Bournemouth,4,1.6076873922720551,9.365667060017586,7.032921178266406,2016
516,Yohan Cabaye,32,2138,4,3.425436284393072,3,2.888524482026696,40,34,7,0,M S,Crystal Palace,4,2.6642672680318356,6.46074209548533,3.456773331388831,2016
553,Anthony Martial,25,1558,4,3.31182773783803,6,3.6707766940817237,42,25,2,0,F M S,Manchester United,4,3.31182773783803,8.690207365900278,2.4858346907421947,2016
585,Seamus Coleman,26,2317,4,1.3783671893179417,3,2.760131001472473,18,17,3,0,D M,Everton,4,1.3783671893179417,10.482688758522272,8.16765077970922,2016
595,Kevin Mirallas,35,2100,4,3.547299104742706,6,3.7305216286331415,61,43,2,0,F M S,Everton,4,3.547299104742706,9.559379119426012,4.92700163833797,2016
599,Oumar Niasse,17,1083,4,3.604678697884083,1,0.807890597730875,26,10,3,1,F S,Hull,4,3.604678697884083,4.442887634038925,0.24271529726684093,2016
617,David Silva,34,2775,4,6.241526518017054,7,8.11968045681715,48,82,6,0,F M S,Manchester City,4,6.241526518017054,25.774784959852695,15.932340640574694,2016
620,Kelechi Iheanacho,20,515,4,4.739896599203348,3,2.534386456012726,22,13,0,0,F S,Manchester City,4,4.739896599203348,7.544516956433654,2.492477960884571,2016
804,Craig Dawson,37,3281,4,2.965410745702684,0,1.097650544717908,21,21,10,0,D,West Bromwich Albion,4,2.965410745702684,3.4220777563750744,2.8161372002214193,2016
836,Victor Wanyama,36,3021,4,4.787810305133462,1,2.03554951492697,40,32,10,0,M S,Tottenham,4,4.787810305133462,11.88898042961955,9.314751144498587,2016
843,James Ward-Prowse,30,1886,4,4.645749989897013,4,2.8906938089057803,42,43,4,0,M S,Southampton,4,4.645749989897013,8.679043468087912,4.2739432528615,2016
863,Jonathan Walters,23,1278,4,4.316956800408661,2,0.8909997064620256,25,12,1,0,F M S,Stoke,3,3.555787784047425,4.777144096791744,1.0050326082855463,2016
888,Xherdan Shaqiri,21,1721,4,2.6227936781942844,2,4.274763828143477,48,41,2,0,F M,Stoke,4,2.6227936781942844,8.980961941182613,5.187847092747688,2016
1383,Manolo Gabbiadini,11,737,4,3.822397604584694,0,0.34004590194672346,29,6,1,0,F S,Southampton,4,3.0612285882234573,2.856666624546051,0.24663610383868217,2016
1698,Abel Hernández,24,1439,4,4.70654087793082,3,1.0438039964064956,39,13,0,0,F S,Hull,4,4.70654087793082,7.33278732188046,2.2358110826462507,2016
1709,Cristhian Stuani,23,1369,4,2.8069687839597464,0,0.5279853157699108,21,7,4,0,F M S,Middlesbrough,4,2.8069687839597464,3.4125292748212814,0.5970664005726576,2016
1710,Marten de Roon,33,2779,4,2.8140534479171038,0,0.7112408000975847,29,11,8,0,M S,Middlesbrough,4,2.8140534479171038,6.81645785830915,5.116796193644404,2016
1727,Alfie Mawson,27,2430,4,2.0473774978891015,0,0.3918485986068845,23,4,1,0,D,Swansea,4,2.0473774978891015,1.699102869257331,1.6677921693772078,2016
1732,Nolito,19,786,4,3.989437036216259,2,1.4063788950443268,32,13,3,1,F M S,Manchester City,4,3.989437036216259,8.056466039270163,3.6412904001772404,2016
1737,Matt Phillips,27,2208,4,2.8540003206580877,8,4.393438269384205,47,33,2,0,F M S,West Bromwich Albion,4,2.8540003206580877,6.104342736303806,1.3419111873954535,2016
1763,Stefano Okaka,19,941,4,2.620595447719097,0,1.3582880264148116,27,14,5,0,F S,Watford,4,2.620595447719097,3.958027221262455,0.9739708788692951,2016
314,Ilkay Gündogan,10,717,3,1.921189139597118,1,0.9761678762733936,16,12,0,0,M S,Manchester City,3,1.921189139597118,6.541459213942289,4.147721093147993,2016
